|TrainingName|TotalCost
1884|etl architecture in depth|3727,25
1885|peoplemanagement voor ict-medewerkers|500
1886|presentation skills in an ict-environment|0
1887|bpmn essentials|0
1888|fast start in project management|0
1889|projectmanagement voor informatici|500
1890|day off for studing.|1250
1891|sas fm|750
1892|functional analysis|500
1893|sql server community day|250
1894|gestion de projet : introduction et techniques de base|500
1895|isbn 9780672333361 silverlight 4 unleashedisbn 9780672330797 c# 4,0 unleashed|93,900000000000006
1896|sas : credit risk modelling|2180
1897|the future of bi|815
1898|sap certified application associate - crystal reports 2008|525
1899|néerlandais - cll brussels city - intensif soir vacances|382
1900|(c_bocr_08)sap certified application associate - crystal reports 2008|650
1901|communicatie voor ict-projectleiders|125
1902|presentation skills in an ict-environment|0
1903|boc345 - crystal reports 2008: report design iv - optimizing report data |550
1904|presentation skills sin25|250
1905|presentation skills in an ict-environmentinf29|0
1906|presentation skills sin25|250
1907| tzbi43 sap bi 4.0 administration & modeling ? delta / collection 96 / ilt / ppt / english (2 days - 1120?)|0
1908|data warehouse lifecycle in depth|0
1909|projectmanagement voor informatici|500
1910|cours pour adultes - anglais intensif soir vacances cll brussels city|382
1911|cours pour adultes - anglais intensif soir vacances cll brussels city|382
1912|di320v3.0 - sap businessobjects data integrator xi 3.0/3.1: core concepts|1680
1913|etl architecture in depth|3663
1914|qlikview designer i & ii|1333
1915|qv developer i & ii|0
1916|sap businessobjects bi 4.0 - online training|350
1917|tzbi4o what´s new in sap businessobjects bi 4.0|740
1918|beheer van microsoft sql server 2008|0
1919|citrix|0
1920|sap businessobjects bi 4.0 administration and modeling|1620
1921|sap businessobjects bi 4.0 online training|0
1922|sap teched|3446,5999999999999
1923|tzbi43_96 sap bi 4.0 adm.&modeling-delta|1720
1924|tzbi4o_96 what´s new in sbo bi 4.0|740
1925|sharepoint 2010 how-to isbn 978-0-672-33335-4|29,670000000000002
1926|business intelligence in sharepoint 2010isbn 978-0-735-64340-6|49
1927|inside ms sharepoint server 2007isbn 978-0-735-62368-2|40,649999999999999
1928|managing and implementing sharepoint 2010 projectisbn 978-0-735-64870-8|21,949999999999999
1929|bi-day and workshops|1095
1930|tzbi42 sap bi 4.0 client tools ? delta / collection 96 / ilt / ppt / english|2580
1931|tzbi43 sap bi 4.0 administration & modeling ? delta / collection 96 / ilt / ppt / english |1720
1932|online training |350
1933|negociate and close the sales|325
1934|sap bo webi certification|525
1935|les techniques de sélection|0
1936|dutch classes, 20hours|1172,5
1937|ibm cognos bi what's new (v10.1)|1562,5
1938|ibm cognos report studio: author reports with multidimensional data (v10.1)|0
1939|formation de formateur part 2|250
1940|formation de formateur part 1|250
1941|presentation skills part 1|250
1942|presentation skills part 2|250
1943|"bi community (tdwi belgium) conferencehttp://bi-day.be/bi-day-registration""bi-award full package"" 6th package for 725? (695 before 15/08/2011)"|1195
1944|etl architecture in depth|3742
1945|bi-day conference|475
1946|sas belux forum|250
1947|certified scrum master training http://www.scrumalliance.org/courses/20112040-certified-scrummaster|1800
1948|informatica powercenter developer|3750
1949|sas forum belux 2011|400
1950|overtuig uw (project)medewerkers, collega''s of klanten(inf22) |500
1951|b5152be - ibm cognos framework manager: design metadata models (v10.1)|3906,25
1952|bi day|475
1953|(inf20) projectmanagement voor informatici|0
1954|design, build and administer data warehouses with sql server integration services|0
1955|design, build and administer data warehouses with sql server integration services|0
1956|ibm cognos performance 2011|250
1957|togaf 9 for practitioners (level 1 & 2)|0
1958|basic credit risk modeling for basel ii/iii using sas|575
1959|data warehouseing concepts|0
1960|data warehousing concepts|0
1961|data warehousing concepts|0
1962|data warehousing concepts|0
1963|sap businessobjects bi 4.0 online training|0
1964|consultingvaardigheden voor ict-ers|250
1965|gestion de projet : introduction et techniques de base|0
1966|2011 microsoft connect|250
1967|training dwh concepts|250
1968|training dwh concepts|250
1969|cognos report studio|0
1970|cognos report studio|0
1971|cognos report studio|0
1972|building the data warehouse|0
1973|cergeco second year in business management|795
1974|sas forum|400
1975|basic credit risk modeling for basel ii/iii using sas|125
1976|sas programming 1: essentials|1500
1977|sas programming 2: manipulating data with the data step|800
1978|advanced credit risk modeling for basel ii/iii using sas|825
1979|european tdwi symposium|1695,25
1980|sas macro language 1: essentials|585
1981|l''entretien de sélection|1280
1982|refacturation de frais/de services et la tva|790
1983|qlikview|250
1984|qlickview|0
1985|qlikview|0
1986|kimball university: data warehouse lifecycle in depth|4153
1987|sap certified application associate - crystal reports 2008(c_bocr_08)|650
1988|qlikview|0
1989|sap business objects university|2080
1990|qlikview support|250
1991|sas data integration studio: fast track|0
1992|preventie adviseur niveau 3|1040
1993|preventie adviseur niveau 3|250
1994|preventie adviseur niveau 3|250
1995|preventie adviseur niveau 3|250
1996|preventie adviseur niveau 3|250
1997|preventie adviseur niveau 3|250
1998|business objects training|0
1999|business objects|0
2000|c_bowi_30 associate - sap businessobjects web intelligence xi 3.x|400
2001|informatica 9.x powercenter administration|4307
2002|bo xi designer overview|250
2003|bo xi reporter|250
2004|informatica 9.x powercenter administration|4307
2005|qlikview developer i|666,5
2006|sas data integration studio: fast track |1175
2007|avondschool frans|154,5
2008|bw330 bi - modeling & implementation|4050
2009|"sas bi - ""creating business intelligence for your organization"""|1943
2010|sas bi|0
2011|creating business intelligence for your organization|0
2012|itil awareness : les bases d''itil|0
2013|lean methodology|250
2014|itil awareness|0
2015|qlikview designer v.10|1383
2016|(inf20) projectmanagement voor informatici|500
2017|designing and executing marketing campaigns with sas customer intelligence studio course notes|72
2018|design, build and administer data warehouses with sql server integration services|2675
2019|baqmar - annual conference (evening session)|80
2020|annual baqmar conference 2011|80
2021|tdwi symposium|1941,1900000000001
2022|business process modeling|500
2023|néerlandais - cll brussels woluwe - immersion individuelle plus|1599
2024|bo universe designer xi:bou310_cfa designer xi 3|0
2025|qlikview developer i&ii|1999,5
2026|techdays|1269
2027|etl architecture in depth - travel|250
2028|lean training at euroclear|250
2029|creating business intelligence for your organization |1693
2030|sas bi|1943
2031|creating business intelligence for your organization (for business analysts)|1193
2032|c_bowi_30: sap certified application associate - sap businessobjects web intelligence xi 3.x|400
2033|initiate master data service bootcamp - ibm forum brussels|1000
2034|what''s new in qlikview 11 session|250
2035|cognos performance|250
2036|consultingvaardigheden voor ict-ers|250
2037|cefora: sin15 - diminuez votre stress au travail|500
2038|informatica developer certification exam|313,41000000000003
2039|qlikview 11 - information session|125
2040|creating business intelligence for your organization|1943
2041|microsoft techdays 2012|1269
2042|sas bi|1943
2043|cefora: sin15 - diminuez votre stress au travail |250
2044|informatica powercenter 9.1 administrator|1600
2045|informatica powercenter 9.1 administrator part 2|1600
2046|management de projet : méthodes et outils|0
2047|cll brussels woluwe - trimestriel - english|539
2048|microsoft datawarehouse in depth|4265,5
2049|cognos fsr bootcamp|500
2050|ibm cognos financial statement reporting|0
2051|ibm cognos 10 bi author|275
2052|configuring sap erp financials and controlling by peter jones.isbn-10: 0470423285isbn-13: 978-0470423288|55,219999999999999
2053|creating business intelligence for your organization (for business analysts)|250
2054|qliktech publisher v10|604
2055|   creating business intelligence for your organization |0
2056|subscription for trends tendance magazine.|212
2057|gestion de projet : introduction et techniques de base|0
2058|mastering the requirements process |2200
2059|sas platform administration - fast track|0
2060|"book ""savoir gérer son stress en toutes circonstances""dr. charly cungiisbn 978-2-266-19473-0"|19
2061|sql language|0
2062|dutch|445
2063|linux voor systeemverantwoordelijken|250
2064|linux voor systeemverantwoordelijken deel ii|250
2065|linux voor systeemverantwoordelijken deel iii|250
2066|dataflux training: data management studio ? the basics course as a  public training in january 2012|1130
2067|sap hana tzhana 26-27/1/2012https://training.sap.com/be/en/course/tzhana-sap-in-memory-appliance-sap-hana-10-classroom-096-be-en/#course-details|0
2068|sap hana tzhana 26-27/1/2012https://training.sap.com/be/en/course/tzhana-sap-in-memory-appliance-sap-hana-10-classroom-096-be-en/#course-details|1720
2069|data quality day|0
2070|soft skills - cancelled (complet)|0
2071|dutch classes|1740
2072|ibm cognos report studio: author reports with multidimensional data (v10.1)|1562,5
2073|ibm cognos report studio : author reports with multidimentional data (v10.1)|1062,5
2074|boi300_91 data integr. xi 3.0: core concepts|2430
2075|néerlandais ? cll brussels woluwe ? trimestriel|539
2076|business model innovation|826
2077|ibm cognos report studio: author reports with multidimensional data (v10.1)|1562,5
2078|presentation skills|250
2079|gestion de projet: de la théorie à la pratique|0
2080|presentation skills in an ict-environment|266,19999999999999
2081|presentation skills in an ict-environment|266,19999999999999
2082|gestion de projet : de la théorie à la pratique|250
2083|gestion de projet : introduction et techniques de base|500
2084|presentation skills|250
2085|gestion de projet|500
2086|presentation skills (part 2)|250
2087|informatica data quality 9.1 (developer, analyst) schedule id: 10478 |4395,2700000000004
2088|presentation skills |250
2089|pmbok versus agile projectmanagement |0
2090|sas data integration studio: fast track|2900
2091|pmbok versus agile projectmanagement|0
2092|sas platform administration - fast track|2875
2093|essentials for ibm cognos bi (v10.1)|0
2094|sas : creating business intelligence for your organization|2200
2095|gartner bi summit|652,5
2096|etl architecture in depth|4284,3299999999999
2097|programming asp.net 4 essentials|2923,5
2098|sas programming 1: essentials |2300
2099|sas programming 2: data manipulation techniques |1575
2100|5de bi congres van het bicc-lessius mechelen|0
2101|oracle technology conference 2012|250
2102|functional analysis|3100
2103|oracle technology conference 2012: engineered for innovation|0
2104| sas enterprise guide 1: querying and reporting  |0
2105|book: microsoft sql azure enterprise application development|44,140000000000001
2106|de klantgerichte it-medewerker - module 1: opportuniteiten ontdekken en doorgronden|0
2107|people management pour collaborateurs ict |500
2108|sin18 - people management pour collaborateurs ict|0
2109|vib dashboard seminarie|799
2110|big data, nosql en analytics|670
2111|mastering the requirements process|2950
2112|tdwi in-depth education: data qualitydata governancemaster data management |3260
2113|managing business process flowsisbn-10: 0136036376isbn-13: 978-0136036371|85,230000000000004
2114|management and cost accountingisbn-10: 1844805662isbn-13: 978-1844805662|62,539999999999999
2115|supply chain management: strategy, planning, and operationisbn-10: 0131730428isbn-13: 978-0131730427|151,44999999999999
2116|qlikview designer version 11|840
2117|creating business intelligence for your organization|2133
2118|sas bi fast track|1133
2119|advanced sql|720
2120|excel : avancé (tableaux croisés dynamiques et bases de données) (buf72 )|0
2121|microstrategy conference|395
2122|proof of technology: experience business intelligence with ibm cognos 10|250
2123|proof of technology: business analytics experience|250
2124|microsoft sql server 2008, database development|400
2125|mcts 070-433: microsoft sql server 2008 database development|400
2126|microsoft sql server 2008 - database development|150
2127|   creating business intelligence for your organization |2133
2128|sas programming 1: essentials|1525
2129|sas programming 2: data manipulation techniques|1575
2130|sas macro language 1: essentials|1085
2131|gps-opleiding (brainstorming)|0
2132|sas platform administration - fast track |2875
2133|exam - r - powercenter 8 architecture and administration|152
2134|exam - s - powercenter 8 mapping design  |152
2135|exam - u - powercenter 8 advanced mapping design|158,41999999999999
2136|sas knowledge booster for partners: high performance analytics / big data|0
2137|tm1 9.5|1253,9949999999999
2138|datawarehousing automation|378,88
2139|creating business intelligence for your organization|2133
2140|nice to know you: customer intelligence training from saslink to register:http://www.nicetoknowyou.be/?appid=28497&email=michael.dixon%40keyrus.be|275
2141|van bits en bytes naar business, leer medewerkers de taal van uw klanten spreken!|250
2142|ibm cognos business partner rally|750
2143|"book ""savoir gérer son stress en toutes circonstances"" dr. charly cungi isbn 978-2-266-19473-0 "|19
2144|opleiding inspirerend coachen|2200
2145|sap business warehouse 7.3|4300
2146|crystal report 2008 c_bocr_08|650
2147|opleiding inspirerend coachen|500
2148|opleiding inspirerend coachen|250
2149|24 05 - data driven marketing congress 2012|0
2150|2405 - data driven marketing congress 2012|0
2151|etl|0
2152|people management pour collaborateurs ict (sin18 )|500
2153|mieux vendre en découvrant les motivations et besoins de vos clients ict (sin53 ) |251
2154|oracle database 11g: sql tuning workshop release 2|2640
2155|oracle database 11g: sql tuning workshop release 2|2640
2156|training oracle database 11g: sql tuning workshop release 2|2640
2157|oracle database 11g: sql tuning workshop release 2|2640
2158|sas programming 3 : advanced techniques and efficiencies|750
2159|teched 2012|3626,9000000000001
2160|gérer de manière professionnelle les clients insatisfaits (ead03)|250
2161|oracle database 11g: sql tuning workshop release 2|2640
2162|oracle database 11g: sql tuning workshop release 2|2640
2163|oracle database 11g: sql tuning workshop release 2|2640
2164|social media day antwerp 2012 - only afternoon ticket requiredhttp://smdaybe2012.eventbrite.com/ |0
2165|big data, hype or reality?|41,32
2166|"the progress principle: using small wins to ignite joy, engagement, and creativity at work"" teresa amabile, steven kramer isbn 978-1-4221-9857-5"|20
2167|big data, hype or reality?|41,32
2168|b5188be -> ibm cognos bi for consumers (v10.1) - elearning|68
2169|j2158be -> ibm cognos report studio: author professional reports fundamentals (v10.1) spvc|1775
2170|j2152be -> ibm cognos framework manager: design metadata models (v10.1) spvc|3750
2171|gérer de manière professionnelle les clients insatisfaits (ead03)|250
2172|microsoft world partner conference|5698,6000000000004
2173|functional analysis|500
2174|c_bobip_40 : sap certified application associate ? sap businessobjects business intelligence platform 4.0|650
2175|boek : sap businessobjects enterprise system administration|69
2176|boek : sap businessobjects web intelligence|75,239999999999995
2177|consultancy skills for ict|500
2178|int 113 : citrix|0
2179|ibm cognos bi for consumers (v10.1) - elearning|68
2180|ibm cognos report studio: author professional reports fundamentals (v10.1) spvc|2250
2181|sas analytics conference 2012|1873
2182|consultancy skills|0
2183|arbeidsduur en flexibiliteit|415
2184|experience business intelligencewith ibm cognos 10|250
2185|consultancy skills for ict|500
2186|data driven marketing congress 2012|565
2187|ibm cognos framework manager: design metadata models (v10.1) spvc|3375
2188|ibm cognos framework manager: design metadata models|3375
2189|sas bi training|2133
2190|j2158be -> ibm cognos report studio: author professional reports fundamentals (v10.1) spvc|250
2191|creating business intelligence for your organization|2133
2192|sin17 - gestion de projet : introduction et techniques de base|500
2193|bw350bw data acquisition |4300
2194|book ms sql server 2008: database development (070-433)|0
2195|kimball dimensional modeling in depth |0
2196|opleiding for trainer|4245
2197|excel 2010: bases de données et tableaux croisés dynamiques (pivot tables)|525
2198|intensif soir néerlandais b1 |399
2199|what''''s new training on tm1 version 10|250
2200|dutch courses|1549
2201|kimball - dimensional modeling in depth|4454
2202|comprehensive kalido diw #1|0
2203|informatica powercenter 8/9 level i developer|3200
2204|certified scrummaster|1882,47
2205|scrum training|1882,47
2206|oracle performance tuning|750
2207|consultancy skills training|500
2208|informatica powercenter level 1 training|3200
2209|french course, independant (level b2)|399
2210|wpc briefing|125
2211|dimensional modeling in depth|3709
2212|boe330 : sap businessobjects business intelligence platform: designing and deploying a solution|3440
2213|int113 : citrix|750
2214|informatica powercenter 8/9 level ii developer|2400
2215|cll summer impact - dutch|1729
2216|néerlandais - intensif soir vacances |399
2217|assertieve communicatie voor elke ict-medewerker (inf101 )|250
2218|informatica developper level ii|2400
2219|dutch course at berlitz liege|755
2220|informatica developper level ii|2400
2221|ibm cognos mobile administration (v10.1) - elearning - b5143be|68
2222|ibm cognos mobile for ipad tablets v10.1.1 - elearning - b5147be|68
2223|sql for bi reporting and analysis|890
2224|sql voor gevorderden|720
2225|sas forum belux 2012|400
2226|designing and executing marketing campaigns with sas customer intelligence studio |1130
2227|sap hana seminarhttp://www.hanaseminar.com/europe/locationanddates/?u=&s=|2849
2228|ibm cognos 10 bi multidimensional author|325
2229|sap datamanagement event|250
2230|people management pour collaborateurs ict|500
2231|"usqlas - ""microsoft sql server 2008/2012 analysis services"""|1710
2232|usqlrs - microsoft sql server 2008/2012 reporting services|1620
2233|microsoft connect 2012|250
2234|professional scrum with team foundation server 2010 (wrox programmer to programmer)|29,469999999999999
2235|cognos for ipad - b5147be|118
2236|cognos for ipad mobile admin|68
2237|bow320 version: 096sap businessobjects web intelligence: advanced report design|725
2238|ha100 version: 097sap hana introduction|1720
2239|dimensional modeling in depth|3681
2240|ibm cognos report studio: author active reports (v10.1)|0
2241|apprendre à gérer les participants difficiles (rff31 )|0
2242|peoplemanagement voor it-medewerkers (inf21 )|500
2243|sas forum belux 2012|400
2244|sociale wetgeving|1725
2245|vba sous excel|250
2246|excel : avancé|250
2247|vba sous excel (2/2)|250
2248|excel: avancé (2/3)|250
2249|excel: avancé (3/3)|250
2250|ibm cognos framework manager: design metadata models|2875
2251|peoplemanagement voor it-medewerkershttp://registration.cevora.be?action=course&number=inf21|500
2252|ibm cognos performance 2012 (la hulpe)|0
2253|ibm infosphere advanced datastage v8|2800
2254|ibm cognos enterprise v10.2|1000
2255|bw data acquisition|4300
2256|ibm cognos 8 bi framework manager: design metadata models (v8.4) spvc|2500
2257|sas programming data manipulation techniques |825
2258|sas macro language: essentiels |585
2259|mastering the requirements process (workshop)|3100
2260|sas fm fast track|2250
2261|designing, tuning, and maintaining sas olap cubes.|1650
2262|building innovative organizations|4950
2263|sas fm internal course 25-26 & 29-30  |2250
2264|datawarehouse concept & modelling|0
2265|datawarehouse concepts & modelling|0
2266|dwh training & modelling|0
2267|datawarehouse concepts & modelling|0
2268|dwh concepts & modelling|750
2269|dwh concepts & modelling|750
2270|the microsoft data warehouse toolkit, 2nd edition: with sql server 2008 r2 and the microsoft business intelligence toolset isbn-13: 978-0470640388|30,620000000000001
2271|datawarehousing concepts and modelling|0
2272|sas fm|2250
2273|procesmanagement - meten van processen|742
2274|procesmanagement - evalueren en verbeteren van processen|1484
2275|procesmanagement - evalueren en verbeteren van processen|1484
2276|sas fm training|2250
2277|ibm cognos framework manager: design metadata models (v10.1) spvc - part 1|2375
2278|sas forum|250
2279|cognos internal training|750
2280|cognos training|750
2281|usqlis12 - implementing data warehouses with integration services 2012|2900
2282|usqlis12 - implementing data warehouses with integration services 2012|2900
2283|overview of microsoft sql server 2008/2012 business intelligence|2960
2284|dw training by bert wusterbergs|750
2285|peoplemanagement voor it-medewerkers (inf21 ) - laken|500
2286|itil ® v3 foundation package|2750
2287|overview of microsoft sql server 2008/2012 business intelligence|2960
2288|informatica powercenter 8/9 level i developer |3200
2289|"book: ""now you see it""writer: stephen fewlanguage: englishisbn-10: 0970601980isbn-13: 978-0970601988"|35,710000000000001
2290|informatica powercenter 8/9 level 1|3200
2291|ibm cognos whats new v10.1|1562,5
2292|project management voor informatici|500
2293|sas platform administration - fast track|4580
2294|journée de networking business axée sur la formation|250
2295|building innovative organizations|500
2296|building innovative organizations|500
2297|microstrategy business intelligence workshop: introduction to mobile bi|0
2298|bpm|125
2299|bpm|125
2300|bpm|125
2301|ehbo initiatie aangeduide persoon|167
2302|ehbo initiatie aangeduide persoon|167
2303|agile approach to data warehousing and business intelligence|2176
2304|ibm cognos tm1: interact with data (v9.5) - elearning|381,75
2305|user experience design|2690
2306|user experience design|0
2307|user experience design|0
2308|user experience design|0
2309|ibm cognos framework manager: design metadata models|250
2310|ibm cognos framework manager: design metadata models|500
2311|sas base certification|254
2312|agile approach to data warehousing and business intelligence|2295,3499999999999
2313|comprehensive kalido diw|1250
2314|visual basic 2012 programmer|46,990000000000002
2315|70-463: implementing a data warehouse with microsoft sql server 2012|275
2316|certified business intelligenceprofessional (cbip) - voorbereiding|4321
2317|certified business intelligence professional (cbip)|1648
2318|comprehensive kalido diw|1800
2319|self-study for 70-463 certificate|250
2320|selfstudy of ssis 2008 r2 |125
2321|néerlandais lunchtime business classes  bruxelles 22/01/13 - 28/03/13 12:30-13:30 339 ? |339
2322|kimball: dimensional modeling in depth|3216
2323|ibm cognos framework manager: design metadata models (v10.1) spvc - part 2|250
2324|ibm cognos framework manager: design metadata models (v10.1) spvc - part 3|250
2325|sas(r) data integration studio: fast track|4200
2326|sas(r) data integration studio: fast track|4200
2327|int108 windows 7 voor systeemverantwoordelijken|250
2328|ibm datastage essentials v8.7|4159
2329|sap certified application associate ? sap businessobjects web intelligence 4.x|525
2330|voorbereiding cbip training|125
2331|essentials for ibm cognos tm1|0
2332|voorbereiding cbip training|125
2333|voorbereiding cbip training|125
2334|voorbereiding cbip training|250
2335|voorbereiding cbip training|125
2336|voorbereiding cbip training|125
2337|gestion de projet : introduction et techniques de base (sin17 )|0
2338|gestion de projet : introduction et techniques de base |0
2339|techdays 2013|1269
2340|functioneel detailontwerp|0
2341|inleiding tot agile ontwikkeling en scrum|775
2342|am : self-studypm : cognos certification exam:cog-645 - ibm cognos 10 bi multidimensional author|400
2343|business analysis: requirements development, documentation and management, nieuwegein (nl)|2119
2344|voorbereiding cbip training|125
2345|voorbereiding cbip training|125
2346|voorbereiding cbip training |125
2347|kimball: etl architecture in depth|0
2348|english training|359
2349|voorbereiding cbip examen|125
2350|voorbereiding cbip examen.|125
2351|re: informatica powercenter level 2 developer training|2400
2352|bi for non bi-ers|500
2353|bi for non bi-ers|250
2354|bi for non bi-ers|500
2355|sap hana an introductionwwww.sap-press.comisbn: 978-1-59229-434-3print + e-book (pdf) $79.99|93
2356|selfstudy of ssis 2008 r2 |250
2357|selfstudy of ssis 2008 r2 |125
2358|sas visual analytics event |125
2359|what's new in ms sql server 2012|2675
2360|visual analytics|1975
2361|sas visual analytics: fast track|750
2362|sas visual analytics event|125
2363|ibm cognos tm1 modeller|3547
2364|organisez vos idées et vos présentations avec les cartes mentales (mind mapping |0
2365|powerpoint : basic |250
2366|powerpoint: advanced|250
2367|harmoniser vos méthodes et styles d?apprentissage |250
2368|apprendre à gérer les participants difficiles |0
2369|la process communication|1740
2370|ibm cognos report studio: author active reports (v10.1)|0
2371|sas visual analytics: fast track|2225
2372|gartner bi summit|3075
2373|bicc congress|0
2374|ibm customer intimacy seminar|125
2375|ibm cognos report studio: author professional reports (v10.2) - ilo |1250
2376|french online|99
2377|bi4elitehttp://www.bi4.elite-enablement.com/registration.html|3757
2378|bw310: bw - enterprise data warehousing|4300
2379|int05 : tcp/ip: theoretisch kader|250
2380|int05 : tcp/ip: theoretisch kader, part 2|250
2381|ibm cognos tm1 modeller and end user training|2943
2382|ibm cognos tm1 modeller|2945
2383|peoplemanagement voor it-medewerkers.|0
2384|onderhandelen en samenwerken in ict-teams (inf77 )   |500
2385|certified scrum product owner|2733
2386|certified scrum product owner (cspo) workshop|2729
2387|bpm training - general concepts (keyrus)|250
2388|informatica world conference|3553
2389|convaincre vos clients et/ou vos collaborateurs ict (sin19)|500
2390|ibm cognos data manager: build data marts with enterprise data (v10.1) spvc|3375
2391|informatica world 2013- las vegas|3553
2392|communication assertive pour collaborateurs it (sin105 ) --> http://registration.cevora.be?action=course&number=sin105|250
2393|sap bi2013 conference|3594,5
2394|sap certified application associate - sap businessobjects business intelligence platform 4.0|525
2395|implementing dwh with integration services 2012|2750
2396|business process management - general concepts|250
2397|bpm training|250
2398|certification exam a00-260: sas data integration development for sas 9|270
2399|designing, tuning and maintaining sas olap cubes|0
2400|comprehensive kalido diw|359
2401|comprehensive kalido diw|500
2402|projects in controlled environments: (prince2®)|2290
2403|kimball - etl architecture in depth|3391
2404|"book ""savoir gérer son stress en toutes circonstances""dr. charly cungiisbn 978-2-266-19473-0"|6,8700000000000001
2405|dimensional modeling in depthjune 4-7 london|4203
2406|business process management|250
2407|peoplemanagement voor it-medewerkers |500
2408|l'entretien de fonctionnement (the evaluation meeting)|0
2409|l'entretien de fonctionnement (the evaluation meeting)|0
2410|la gestion de projets ict selon scrum (sin92)|500
2411|convaincre vos clients et/ou vos collaborateurs ict (sin19)|500
2412|la process communication|250
2413|la process communication|250
2414|certification exam a00-250: sas platform administration for sas 9|270
2415|english training|359
2416|training business process management: performance measurement|125
2417|bpm part ii|125
2418|bpm|250
2419|certified scrummaster|1944
2420|visual analytics|125
2421|informatica powercenter 9.x level i developer|3200
2422|training business process management|250
2423|tdwi - education certified program|3751,5500000000002
2424|course dbw730: delta bw 7.0 to bw 7.3|2580
2425|dbw730: delta bw 7.0 to bw 7.3|2580
2426|dbw730: delta bw 7.0 to bw 7.3|2580
2427|la gestion de projets ict selon scrum (sin92 )|500
2428|pmp, management de projets certifié pmi|4245
2429|http://www.amazon.com/gp/product/0470149779?ie=utf8&tag=ralphkimballc-20&lin%20kcode=xm2&camp=1789&creativeasin=0470149779|27
2430|french online|250
2431|bi strategy guide: proven pathways to success with business intelligence [paperback]|28
2432|sin108 comment me présenter comme consultant?|0
2433|dimensional modeling in depth|0
2434|certified scrum product owner|0
2435|programmation java : base (sit13 )|0
2436|programmation java : avancé (sit14 )|0
2437|functionele analyse van a tot zhttp://opleidingen.kluwer.be/nl/training/functionele-analyse-van-a-tot-z/itfunnb.aspx#inschrijven|2570
2438|functionele analyse van a tot z part 2|250
2439|qlikview: designer version 11|1340
2440|qlikview: developer version 11|2010
2441|usqld - developing and optimizing databases using sql server 2008/2012|2960
2442|coachen en leiden - module 1: basis (deel 1)|500
2443|coachen en leiden - module 2: basis (deel 2) (grh110 ) |500
2444|convaincre vos clients et /ou vos collaborateurs ict (sin19)|0
2445|programmation java : base (sit13 )|0
2446|programmation java : avancé (sit14 )|0
2447|altissia dutch courses - 3 months|79,5
2448|consultingvaardigheden voor ict-ers (inf83)|500
2449|hoe begeleidt u een brainstormsessie ?(inf78)|0
2450|overview of microsoft sql server 2008/2012 business intelligence|1710
2451|krijg alles gedaan door een optimale workflow (inf105 )|250
2452|pluralsight hardcore developer training|380,64999999999998
2453|sas(r) visual analytics: fast track|2600
2454|oracle essbase 11.1.1: bootcamp - self-study course|1302
2455|sap bw course e-learning: obw73-okp sap netweaver business warehouse 7.3 |350
2456|self study for exam mcts 70-448 |250
2457|self study for exam mcts 70-448|750
2458|exam mcts 70-448|400
2459|office 365|0
2460|overtuig uw (project)medewerkers, collega''''s of klanten (inf22 )|500
2461|oracle business analytics emea partner community forum|999
2462|oracle business analytics emea partner community forum|154
2463|big data, nosql en analytics|545
2464|introduction to ibm spss statistics spvc|850
2465|ibm cognos tm1 v10|2367,4000000000001
2466|ibm cognos report studio: author active reports (v10.1) spvc|425
2467|semarchy convergence for mdm|750
2468|oracle hyperion planning 11.1.2: create & manage applications - self-study course|1754
2469|semarchy|750
2470|ha100: sap hana ? introduction|1720
2471|semarchy (organised by annick)|750
2472|cognos report studio - j2258be|1275
2473|oracle business analytics emea partner community forum|1745
2474|9th conference in data management seriesmaster data management:empowering business|0
2475|sap certified application associate - sap businessobjects business intelligence platform 4.0|325
2476|functionele analyse van a tot z|0
2477|functionele analyse van a tot z|0
2478|mastering costs and budgets|0
2479|fundamentals of financial management|0
2480|ibm netezza technical mastery test v1|183,24000000000001
2481|cbip - certification|350
2482|scrum master|1944
2483|semarchy|750
2484|scrumbootcamptoday |0
2485|business process management - otimisation and evaluation of business processes|125
2486|functioneel detailontwerp|2190
2487|sas forum belux 2013|400
2488|krijg alles gedaan door een optimale workflow (inf105)|250
2489|building windows applications with wpf (uwpf)|1388
2490|self training for sql 2012 certifications / upgrades|500
2491|ibm cognos datamanager|250
2492|summer intensive course - dutch|299
2493|tableau software|658
2494|onderhandelen en samenwerken in ict-teams (inf77)http://www.cevora.be/werknemers/infofiche=inf77|0
2495|bpm training day 1: optimisation & evaluation of business processes|125
2496|big data en hadoop|250
2497|bow310 : sap businessobjects web intelligence 4.0 : report design|0
2498|bow320 : sap businessobjects web intelligence 4.0 : advanced report design|0
2499|c_bowi_40 : sap certified application associate ? sap businessobjects web intelligence 4.0|0
2500|business process management - otimisation and evaluation of business processes - part 2|125
2501|business process management|125
2502|business process management|125
2503|self training for sql 2012 certifications / upgrades|125
2504|tableau software|500
2505|mastering costs and budgets|0
2506|mastering costs and budgets|0
2507|fundamentals of financial management|0
2508|sap teched amsterdam|0
2509|sas programming 3: advanced techniques and efficiencies|0
2510|tableau software|500
2511|spreek de taal van uw klanten ; van bits & bytes naar business (inf108|250
2512|business process modelling|125
2513|presentation skills|250
2514|presentation skills|250
2515|sap hana - implementation and modeling|2700
2516|the people manager|4245
2517|sas forum belux|400
2518|cursusbeschrijving: ibm cognos report studio: author reports with multidimensional data (v10.2) spvc|1249
